n; comparisons; ; ; ; ; ; ; ; ; ; swaps; ; ; ; ; ; ; ; ; ; duration;
6200; 9443943; 9760063; 9602455; 9492856; 9576838; 9625041; 9472894; 9579557; 9615655; 9569092; 9437744; 9753864; 9596256; 9486657; 9570639; 9618842; 9466695; 9573358; 9609456; 9562893; 0,031090; 0,032993; 0,031001; 0,023310; 0,031500; 0,021077; 0,031599; 0,021064; 0,023368; 0,031189; 
6300; 9915434; 9936621; 9846956; 9807585; 9992547; 9904041; 9900721; 9962208; 9901617; 9903482; 9909135; 9930322; 9840657; 9801286; 9986248; 9897742; 9894422; 9955909; 9895318; 9897183; 0,033022; 0,032991; 0,026246; 0,023781; 0,031249; 0,031248; 0,024746; 0,030822; 0,032134; 0,027772; 
6400; 10157487; 10215914; 10073319; 10267407; 10294001; 10305884; 10288371; 10207544; 10248877; 10231667; 10151088; 10209515; 10066920; 10261008; 10287602; 10299485; 10281972; 10201145; 10242478; 10225268; 0,034042; 0,034004; 0,032005; 0,026836; 0,031248; 0,015631; 0,041668; 0,029148; 0,023310; 0,031697; 
6500; 10674698; 10632016; 10499608; 10424943; 10571250; 10466509; 10570535; 10708433; 10610072; 10563460; 10668199; 10625517; 10493109; 10418444; 10564751; 10460010; 10564036; 10701934; 10603573; 10556961; 0,035040; 0,034003; 0,026849; 0,031343; 0,035222; 0,025979; 0,023136; 0,031252; 0,031250; 0,022129; 
6600; 10860984; 10846940; 10864931; 10916077; 10903010; 10922103; 10919418; 10916312; 10849381; 11057224; 10854385; 10840341; 10858332; 10909478; 10896411; 10915504; 10912819; 10909713; 10842782; 11050625; 0,037080; 0,037983; 0,034998; 0,016909; 0,043872; 0,030562; 0,030615; 0,030497; 0,031227; 0,031568; 
6700; 11276593; 11020129; 11251233; 11218186; 11291382; 11232071; 11311984; 11198471; 11221306; 11183305; 11269894; 11013430; 11244534; 11211487; 11284683; 11225372; 11305285; 11191772; 11214607; 11176606; 0,038017; 0,038047; 0,025257; 0,031300; 0,031251; 0,037827; 0,031314; 0,039654; 0,031460; 0,033702; 
6800; 11475982; 11547533; 11361343; 11591612; 11567513; 11436985; 11664981; 11598123; 11285261; 11443159; 11469183; 11540734; 11354544; 11584813; 11560714; 11430186; 11658182; 11591324; 11278462; 11436360; 0,038011; 0,039003; 0,033243; 0,031301; 0,040996; 0,030804; 0,031575; 0,039733; 0,033628; 0,031587; 
6900; 11835237; 11884515; 11929522; 11843416; 11845774; 11946401; 11995283; 11752837; 11912015; 12060498; 11828338; 11877616; 11922623; 11836517; 11838875; 11939502; 11988384; 11745938; 11905116; 12053599; 0,039062; 0,039000; 0,034594; 0,031656; 0,031413; 0,039785; 0,033373; 0,031606; 0,031570; 0,042875; 
7000; 12174141; 12218787; 12167664; 12166326; 12274455; 12319143; 12403378; 12311437; 12178866; 12288621; 12167142; 12211788; 12160665; 12159327; 12267456; 12312144; 12396379; 12304438; 12171867; 12281622; 0,040110; 0,040961; 0,032663; 0,030649; 0,040810; 0,030496; 0,038685; 0,032602; 0,038673; 0,033522; 
7100; 12696361; 12513739; 12584564; 12739458; 12683807; 12624279; 12527045; 12677510; 12606764; 12518817; 12689262; 12506640; 12577465; 12732359; 12676708; 12617180; 12519946; 12670411; 12599665; 12511718; 0,043002; 0,041992; 0,039841; 0,033771; 0,039824; 0,032627; 0,040682; 0,030477; 0,040743; 0,030532; 
